dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
31 January,Ahmedabad,,,,,,,,,,,,,,,
01 February,Ahmedabad,,,,,,,,,,,,,,,
02 February,Ahmedabad,,,,,,,,,,,,,,,
03 February,Ahmedabad,,,,,,,,,,,,,,,
04 February,Ahmedabad,,,,,,,,,,,,,,,
05 February,Ahmedabad,,,,,,,,,,,,,,,
06 February,Ahmedabad,,,,,,,,,,,,,,,
07 February,Ahmedabad,,,,,,,,,,,,,,,
08 February,Ahmedabad,,,,,,,,,,,,,,,
09 February,Ahmedabad,,,,,,,,,,,,,,,
10 February,Ahmedabad,,,,,,,,,,,,,,,
11 February,Ahmedabad,,,,,,,,,,,,,,,
12 February,Ahmedabad,,,,,,,,,,,,,,,
13 February,Ahmedabad,,,,,,,,,,,,,,,
14 February,Ahmedabad,,,,,,,,,,,,,,,
15 February,Ahmedabad,,,,,,,,,,,,,,,
16 February,Ahmedabad,,,,,,,,,,,,,,,
17 February,Ahmedabad,,,,,,,,,,,,,,,
18 February,Ahmedabad,,,,,,,,,,,,,,,
19 February,Ahmedabad,,,,,,,,,,,,,,,
20 February,Ahmedabad,,,,,,,,,,,,,,,
21 February,Ahmedabad,,,,,,,,,,,,,,,
22 February,Ahmedabad,,,,,,,,,,,,,,,
23 February,Ahmedabad,,,,,,,,,,,,,,,
24 February,Ahmedabad,,,,,,,,,,,,,,,
25 February,Ahmedabad,,,,,,,,,,,,,,,
26 February,Ahmedabad,,,,,,,,,,,,,,,
27 February,Ahmedabad,,,,,,,,,,,,,,,
28 February,Ahmedabad,,,,,,,,,,,,,,,
29 February,Ahmedabad,,,,,,,,,,,,,,,
01 March,Ahmedabad,,,,,,,,,,,,,,,
02 March,Ahmedabad,,,,,,,,,,,,,,,
03 March,Ahmedabad,,,,,,,,,,,,,,,
04 March,Ahmedabad,,,,,,,,,,,,,,,
05 March,Ahmedabad,,,,,,,,,,,,,,,
06 March,Ahmedabad,,,,,,,,,,,,,,,
07 March,Ahmedabad,,,,,,,,,,,,,,,
08 March,Ahmedabad,,,,,,,,,,,,,,,
09 March,Ahmedabad,,,,,,,,,,,,,,,
10 March,Ahmedabad,,,,,,,,,,,,,,,
11 March,Ahmedabad,,,,,,,,,,,,,,,
12 March,Ahmedabad,,,,,,,,,,,,,,,
13 March,Ahmedabad,,,,,,,,,,,,,,,
14 March,Ahmedabad,,,,,,,,,,,,,,,
15 March,Ahmedabad,,,,,,,,,,,,,,,
16 March,Ahmedabad,,,,,,,,,,,,,,,
17 March,Ahmedabad,,,,,,,,,,,,,,,
18 March,Ahmedabad,,,,,,,,,,,,,,,
19 March,Ahmedabad,,,,,,,,,,,,,,,
20 March,Ahmedabad,,,,,,,,,,,,,,,
21 March,Ahmedabad,,,,,,,,,,,,,,,
22 March,Ahmedabad,,,,,,,,,,,,,,,
23 March,Ahmedabad,,,,,,,,,,,,,,,
24 March,Ahmedabad,,,,,,,,,,,,,,,
25 March,Ahmedabad,,,,,,,,,,,,,,,
26 March,Ahmedabad,,,,,,,,,,,,,,,
27 March,Ahmedabad,,,,,,,,,,,,,,,
28 March,Ahmedabad,,,,,,,,,,,,,,,
29 March,Ahmedabad,,,,,,,,,,,,,,,
30 March,Ahmedabad,,,,,,,,,,,,,,,
31 March,Ahmedabad,,,,,,,,,,,,,,,
01 April,Ahmedabad,,,,,,,,,,,,,,,
02 April,Ahmedabad,,,,,,,,,,,,,,,
03 April,Ahmedabad,,,,,,,,,,,,,,,
04 April,Ahmedabad,,,,,,,,,,,,,,,
05 April,Ahmedabad,,,,,,,,,,,,,,,
06 April,Ahmedabad,,,,,,,,,,,,,,,
07 April,Ahmedabad,,,,,,,,,,,,,,,
08 April,Ahmedabad,,,,,,,,,,,,,,,
09 April,Ahmedabad,,,,,,,,,,,,,,,
10 April,Ahmedabad,,,,,,,,,,,,,,,
11 April,Ahmedabad,,,,,,,,,,,,,,,
12 April,Ahmedabad,,,,,,,,,,,,,,,
13 April,Ahmedabad,,,,,,,,,,,,,,,
14 April,Ahmedabad,,,,,,,,,,,,,,,
15 April,Ahmedabad,,,,,,,,,,,,,,,
16 April,Ahmedabad,,,,,,,,,,,,,,,
17 April,Ahmedabad,,,,,,,,,,,,,,,
18 April,Ahmedabad,,,,,,,,,,,,,,,
19 April,Ahmedabad,,,,,,,,,,,,,,,
20 April,Ahmedabad,,,,,,,,,,,,,,,
21 April,Ahmedabad,,,,,,,,,,,,,,,
22 April,Ahmedabad,,,,,,,,,,,,,,,
23 April,Ahmedabad,,,,,,,,,,,,,,,
24 April,Ahmedabad,,,,,,,,,,,,,,,
25 April,Ahmedabad,,,,,,,,,,,,,,,
26 April,Ahmedabad,2181,,140,104,,,,,,,,,,,
27 April,Ahmedabad,2379,,212,109,198,,198.0,,,,,34.237911903218986,,,5.0
28 April,Ahmedabad,2543,,241,128,164,,181.0,,,,,31.32699631630563,,,12.0
29 April,Ahmedabad,2777,,263,137,234,,198.66666666666666,,,,,42.69342860806254,,,11.0
30 April,Ahmedabad,3026,,316,149,249,,211.25,,,,,43.386503747803815,,,11.25
01 May,Ahmedabad,3293,,399,165,267,,222.4,,,,,45.18849911113114,,,12.2
02 May,Ahmedabad,3543,,462,185,250,,227.0,,,,,46.15880430676892,,,13.5
03 May,Ahmedabad,3817,,533,208,274,,233.71428571428572,,,,,51.842020452647375,,,14.857142857142858
04 May,Ahmedabad,4076,,620,234,259,,242.42857142857142,,,,,52.119250508543885,,,17.857142857142858
05 May,Ahmedabad,4425,,704,273,349,,268.85714285714283,,,,,61.12922732518046,,,20.714285714285715
06 May,Ahmedabad,4716,,778,298,291,,277.0,,,,,52.673710620336905,,,23.0
07 May,Ahmedabad,4991,,886,321,275,,280.7142857142857,,,,,53.782630843922945,,,24.571428571428573
08 May,Ahmedabad,5260,,1001,343,269,,281.0,,,,,54.059860899819455,,,25.428571428571427
09 May,Ahmedabad,5540,,1107,363,280,,285.2857142857143,,,,,54.614321011612475,,,25.428571428571427
10 May,Ahmedabad,5818,,1373,381,278,,285.85714285714283,,,,,55.168781123405495,,,24.714285714285715
11 May,Ahmedabad,6086,,1482,400,268,,287.14285714285717,,,,,48.09941469804449,,,23.714285714285715
12 May,Ahmedabad,6353,,1874,421,267,,275.42857142857144,,,,,50.178640117268316,,,21.142857142857142
13 May,Ahmedabad,6645,,2112,446,292,,275.57142857142856,,,,,50.455870173164826,,,21.142857142857142
14 May,Ahmedabad,6910,,2247,465,265,,274.14285714285717,,,,,44.91126905523463,,,20.571428571428573
15 May,Ahmedabad,7171,,2382,479,261,,273.0,,,,,47.129109502406706,,,19.428571428571427
16 May,Ahmedabad,8144,,2545,493,973,,372.0,,,,,146.51608454130556,,,18.571428571428573
17 May,Ahmedabad,8420,,2660,524,276,,371.7142857142857,,,,,54.19847592776771,,,20.428571428571427
18 May,Ahmedabad,8683,,2841,555,263,,371.0,,,,,50.733100229061336,,,22.142857142857142
19 May,Ahmedabad,8945,14.017519941077836,3023,576,262,0.4105746477990378,370.2857142857143,0.4105746477990378,63813,63813,8845.440778461996,54.75293603956073,810.8979134972918,63813.0,22.142857142857142
20 May,Ahmedabad,9216,14.07689135315951,3130,602,271,16.364734299516908,367.2857142857143,0.8141257694481357,1656,65469,9074.987264744308,55.168781123405495,845.274440428459,32734.5,22.285714285714285
21 May,Ahmedabad,9449,14.111409796893668,3330,619,233,15.62709590878605,362.7142857142857,1.1439665471923537,1491,66960,9281.662271415156,51.42617536880261,745.748850361612,22320.0,22.0
22 May,Ahmedabad,9724,14.033568573119164,3658,645,275,11.797511797511797,364.7142857142857,1.5023596138026583,2331,69291,9604.773901562538,50.31725514521657,888.5223291483146,17322.75,23.714285714285715
23 May,Ahmedabad,10001,14.433331890144464,3864,669,277,,265.2857142857143,1.5023596138026583,,69291,9604.773901562538,54.891551067508985,,17322.75,25.142857142857142
24 May,Ahmedabad,10280,14.16699971059631,4051,697,279,8.526894865525673,265.7142857142857,1.8191089122555573,3272,72563,10058.322273009228,54.614321011612475,665.352134151624,14512.6,24.714285714285715
25 May,Ahmedabad,10590,14.39308479552034,4187,722,310,30.57199211045365,272.42857142857144,2.215366214985661,1014,73577,10198.877911348758,56.13908631904328,484.18229262325474,12262.833333333334,23.857142857142858
26 May,Ahmedabad,10841,14.587117695340357,4623,745,251,33.82749326145552,270.85714285714283,15.410241766609557,742,74319,10301.730262086365,50.04002508932006,409.1915625032488,1751.0,24.142857142857142
27 May,Ahmedabad,11097,14.702297358170593,4950,764,256,22.08800690250216,268.7142857142857,16.025576980717354,1159,75478,10462.385079478392,52.119250508543885,630.6983771645603,1668.1666666666667,23.142857142857142
28 May,Ahmedabad,11344,14.796264412792821,5331,780,247,20.756302521008404,270.7142857142857,16.666666666666668,1190,76668,10627.336962736816,50.87171525700959,580.1038919634473,1618.0,23.0
29 May,Ahmedabad,11597,15.126258673762196,5799,798,253,,267.57142857142856,18.20523247932764,,76668,10627.336962736816,51.564790396750865,,1475.4,21.857142857142858
30 May,Ahmedabad,11881,15.051434073173203,6317,822,284,12.522045855379188,268.57142857142856,16.86884396060135,2268,78936,10941.715846123458,57.109391514681064,595.9060051495483,1607.5,21.857142857142858
31 May,Ahmedabad,12180,15.430221951961082,6918,842,299,,271.42857142857144,21.151733877294838,,78936,10941.715846123458,60.713382241335694,,1274.6,20.714285714285715
01 June,Ahmedabad,12494,15.141672928230362,7708,864,314,8.775852431525992,272.0,15.128119055611503,3578,82514,11437.680416122314,58.63415682211187,599.9258409600477,1787.4,20.285714285714285
02 June,Ahmedabad,12773,15.167491954923824,8727,888,279,16.421424367274867,276.0,13.947847180109157,1699,84213,11673.1873486064,57.52523659852583,741.8676295790608,1978.8,20.428571428571427
03 June,Ahmedabad,13063,15.066202251337884,8932,910,290,11.641910879164994,280.85714285714283,12.595759843221094,2491,86704,12018.477383225503,67.22828855490368,871.6112957386275,2245.2,20.857142857142858
04 June,Ahmedabad,13354,15.056600369819149,9228,938,291,14.637826961770624,287.14285714285717,12.125748502994012,1988,88692,12294.044058786634,68.19859375054146,834.8783133323399,2404.8,22.571428571428573
05 June,Ahmedabad,13678,15.132874560219504,9479,968,324,19.126328217237308,297.2857142857143,12.990231812217525,1694,90386,12528.857916130977,70.69366425361005,830.3040174100475,2286.3333333333335,24.285714285714285
06 June,Ahmedabad,13967,15.18135672438343,9689,994,289,17.894736842105264,298.0,13.677765021048604,1615,92001,12752.721186267408,69.03028391823099,789.4125841653123,2177.5,24.571428571428573
07 June,Ahmedabad,14285,15.220448782151001,9912,1015,318,17.161359956826768,300.7142857142857,14.110470572462797,1853,93854,13009.574833055525,66.5352134151624,842.7793699253905,2131.1428571428573,24.714285714285715
08 June,Ahmedabad,14631,15.327641296946204,10130,1039,346,21.611492816989383,305.2857142857143,16.51340700100456,1601,95455,13231.497492800681,66.11936833131765,638.0449736458178,1848.7142857142858,25.0
09 June,Ahmedabad,14962,15.395221533965797,10378,1066,331,19.121894858463317,312.7142857142857,16.873506513528095,1731,97186,13471.440106179112,65.14906313567985,734.382418069855,1853.2857142857142,25.428571428571427
10 June,Ahmedabad,15305,15.492145112964613,10644,1092,343,21.357409713574096,320.2857142857143,18.54731965585705,1606,98792,13694.05584106401,70.69366425361005,667.7085896267444,1726.857142857143,26.0
11 June,Ahmedabad,15635,15.511836021985436,10875,1117,330,16.483516483516482,325.85714285714283,18.84812427697901,2002,100794,13971.563127016416,71.10950933745482,903.7699822226226,1728.857142857143,25.571428571428573
12 June,Ahmedabad,15962,15.585607577015086,11118,1139,327,20.172732880937694,326.2857142857143,18.9874470030759,1621,102415,14196.258087320537,68.61443883438623,722.6001406942534,1718.4285714285713,24.428571428571427
13 June,Ahmedabad,16306,15.580866474286697,11373,1165,344,15.364001786511835,334.14285714285717,18.485734608393265,2239,104654,14506.61713489668,71.66396944924784,760.442043324127,1807.5714285714287,24.428571428571427
14 June,Ahmedabad,16640,15.657639686094436,11597,1187,334,20.617283950617285,336.42857142857144,18.96135265700483,1620,106274,14731.173480172853,70.83227928155831,685.0354681202763,1774.2857142857142,24.571428571428573
15 June,Ahmedabad,16967,15.746051190675056,11822,1210,327,22.094594594594593,333.7142857142857,18.993414098707213,1480,107754,14936.32372153627,71.24812436540307,602.1436814072198,1757.0,24.428571428571427
16 June,Ahmedabad,17299,15.836644268268122,12057,1231,332,22.43243243243243,333.85714285714283,19.397410358565736,1480,109234,15141.473962899689,72.63427464488562,474.89508575072165,1721.142857142857,23.571428571428573
17 June,Ahmedabad,17629,15.80636773632443,12280,1253,330,14.36656508489334,332.0,18.24319020331266,2297,111531,15459.87268209683,72.0798145330926,1016.8798450283988,1819.857142857143,23.0
18 June,Ahmedabad,17946,15.822466738963683,12561,1275,317,16.772486772486772,330.14285714285717,18.302051160212244,1890,113421,15721.855084919032,70.69366425361005,703.1940367814976,1803.857142857143,22.571428571428573
19 June,Ahmedabad,18258,15.814912341487076,12767,1296,312,15.392205229403059,328.0,17.616818844471727,2027,115448,16002.827746570145,74.8521150920577,770.2837103084531,1861.857142857143,22.428571428571427
20 June,Ahmedabad,18564,15.840671718206021,13185,1312,306,17.545871559633028,322.57142857142856,18.009251874302123,1744,117192,16244.5723553119,74.71350006410945,708.7386378994279,1791.142857142857,21.0
21 June,Ahmedabad,18837,15.824092741935484,13612,1332,273,14.772727272727273,313.85714285714283,17.209775967413442,1848,119040,16500.732926960278,80.3967162099879,756.8380525974724,1823.7142857142858,20.714285714285715
22 June,Ahmedabad,19151,15.904693092823745,14013,1348,314,22.90299051787017,312.0,17.25527376155487,1371,120411,16690.774130277336,78.04026073486757,619.4705599007516,1808.142857142857,19.714285714285715
23 June,Ahmedabad,19386,15.846132467978322,14434,1363,235,12.188796680497925,298.14285714285717,15.9252193819153,1928,122339,16958.02390416157,76.099650343592,690.7186842661547,1872.142857142857,18.857142857142858
24 June,Ahmedabad,19601,15.790703294932731,14835,1378,215,12.004466778336125,281.7142857142857,15.652035875863163,1791,124130,17206.283419216896,79.28779598640186,797.5908708142593,1799.857142857143,17.857142857142858
25 June,Ahmedabad,19839,15.786960777292368,15051,1390,238,15.484710474951203,270.42857142857144,15.45810877021068,1537,125667,17419.334717173362,79.98087112614314,720.5209152750296,1749.4285714285713,16.428571428571427
26 June,Ahmedabad,20058,15.710324733305136,15261,1398,219,10.911808669656203,257.14285714285717,14.722722067724522,2007,127674,17697.53507826551,80.3967162099879,817.9672799226528,1746.5714285714287,14.571428571428571
27 June,Ahmedabad,20269,15.649199743670911,15479,1410,211,11.423930698429887,243.57142857142858,13.829183226539055,1847,129521,17953.557034885936,85.24824218817683,827.3931018231342,1761.2857142857142,14.0
28 June,Ahmedabad,20480,15.559945297067316,15660,1423,211,10.052405907575036,234.71428571428572,13.060413354531002,2099,131620,18244.509978549326,86.49577743971112,853.5913421053543,1797.142857142857,13.0
29 June,Ahmedabad,20716,15.577345324390171,15831,1432,236,17.251461988304094,223.57142857142858,12.443348970342688,1368,132988,18434.135336782536,86.77300749560763,614.4804188946144,1796.7142857142858,12.0
30 June,Ahmedabad,20913,15.464763735857428,15968,1441,197,8.78679750223015,218.14285714285714,11.845473586222946,2242,135230,18744.910229442525,85.9413173279181,814.2246741680499,1841.5714285714287,11.142857142857142
01 July,Ahmedabad,21128,15.356101957307013,16093,1449,215,9.121764955451846,218.14285714285714,11.347254217136063,2357,137587,19071.625850316563,93.56514386507213,974.047801392388,1922.4285714285713,10.142857142857142
02 July,Ahmedabad,21339,15.300283936100037,16254,1456,211,11.217437533227008,214.28571428571428,10.868777624809796,1881,139468,19332.36071788723,94.39683403276166,1029.2165825157936,1971.5714285714287,9.428571428571429
03 July,Ahmedabad,21543,15.246392401927826,16385,1466,204,11.141452758055708,212.14285714285714,10.899082568807339,1831,141299,19586.164834060484,95.22852420045119,1082.306138219975,1946.4285714285713,9.714285714285714
04 July,Ahmedabad,21715,15.198919312391512,16613,1475,172,10.934520025429116,206.57142857142858,10.830649389558834,1573,142872,19804.20627302309,98.69389989915757,1175.5940520291508,1907.2857142857142,9.285714285714286
05 July,Ahmedabad,21892,15.124320365879777,16829,1484,177,9.44,201.71428571428572,10.756456159061477,1875,144747,20064.10945042607,100.49589526248488,1077.0387671579415,1875.2857142857142,8.714285714285714
06 July,Ahmedabad,22075,15.141538229383158,17069,1491,183,17.528735632183906,194.14285714285714,10.614699679762555,1044,145791,20208.823539604047,101.88204554196743,878.8192771919367,1829.0,8.428571428571429
07 July,Ahmedabad,22262,15.105067817425583,17193,1496,187,11.761006289308176,192.71428571428572,11.101966916303185,1590,147381,20429.22143404177,107.8424917437424,1021.0382958668464,1735.857142857143,7.857142857142857
08 July,Ahmedabad,22418,15.036756814767118,17363,1501,156,9.13884007029877,184.28571428571428,11.216415963829233,1707,149088,20665.837286749444,108.53556688348367,1113.6331345362807,1643.0,7.428571428571429
09 July,Ahmedabad,22580,14.982317150042133,17502,1506,162,9.981515711645102,177.28571428571428,11.03797918704972,1623,150711,20890.809477109462,119.34753906344757,1085.0784387789402,1606.142857142857,7.142857142857143
10 July,Ahmedabad,22745,14.951421847678898,17663,1511,165,11.66077738515901,171.71428571428572,11.101874942273945,1415,152126,21086.94974165624,121.28814945472314,1061.3752689997887,1546.7142857142858,6.428571428571429
11 July,Ahmedabad,22923,14.928104404907655,17789,1515,178,12.447552447552448,172.57142857142858,11.306626731561213,1430,153556,21285.169231622247,120.87230437087837,1069.6921706766839,1526.2857142857142,5.714285714285714
12 July,Ahmedabad,23095,14.878402319214045,17922,1519,172,10.30557219892151,171.85714285714286,11.481198702042375,1669,155225,21516.517713267884,121.84260956651616,1050.701911847773,1496.857142857143,5.0
13 July,Ahmedabad,23259,14.876714957305959,18047,1522,164,14.642857142857142,169.14285714285714,11.218495357210536,1120,156345,21671.76654456993,125.03075520932602,778.8778420412449,1507.7142857142858,4.428571428571429
14 July,Ahmedabad,23426,14.779158018257869,18227,1525,167,7.724329324699353,166.28571428571428,10.461980945532986,2162,158507,21971.452234994056,126.83275057265334,1123.0589564367622,1589.4285714285713,4.142857142857143
15 July,Ahmedabad,23599,14.701686404724674,18439,1527,173,8.59840954274354,168.71428571428572,10.33155454465926,2012,160519,22250.345671225947,128.21890085213587,1294.6643610367018,1633.0,3.7142857142857144
16 July,Ahmedabad,23780,14.553421706508036,18627,1532,181,6.286905175408128,171.42857142857142,9.458500827618822,2879,163398,22649.418336688974,127.38721068444636,1588.9440653708473,1812.4285714285713,3.7142857142857144
17 July,Ahmedabad,23964,14.404731849821474,18792,1537,184,6.207827260458839,174.14285714285714,8.562798538915425,2964,166362,23060.2732795276,131.545661522894,1778.4308085761118,2033.7142857142858,3.7142857142857144
18 July,Ahmedabad,24163,14.34746723827733,18961,1541,199,9.70258410531448,177.14285714285714,8.346234098404793,2051,168413,23344.572701849473,133.0704268303248,1704.5489986796917,2122.4285714285716,3.7142857142857144
19 July,Ahmedabad,24375,14.235322287696594,19128,1547,212,7.528409090909091,182.85714285714286,7.998000499875031,2816,171229,23734.912620551757,133.76350197006607,1639.1227054881156,2286.285714285714,4.0
20 July,Ahmedabad,24568,14.13700837241419,19328,1551,193,7.550860719874804,187.0,7.5057339449541285,2556,173785,24089.212631987495,138.3377978923585,1783.5595646101972,2491.4285714285716,4.142857142857143
21 July,Ahmedabad,24767,14.009118059640707,19533,1557,199,6.6178915862986365,191.57142857142858,7.333880229696472,3007,176792,24506.028021027898,142.21901867490965,1898.055577695456,2612.1428571428573,4.571428571428571
22 July,Ahmedabad,24963,13.876890749295399,19745,1560,196,6.328705198579271,194.85714285714286,7.041817243159525,3097,179889,24935.318762583647,141.3873285072201,1943.9371519463282,2767.1428571428573,4.714285714285714
23 July,Ahmedabad,25173,13.712053948350338,19948,1565,210,5.68489442338928,199.0,6.901164230864503,3694,183583,25447.3626758245,149.4270001282189,2059.1262401713284,2883.5714285714284,4.714285714285714
24 July,Ahmedabad,25349,13.574125143912822,20153,1568,176,5.566097406704618,197.85714285714286,6.794878084678408,3162,186745,25885.663394196883,148.04084984873634,2100.9879786117012,2911.8571428571427,4.428571428571429
25 July,Ahmedabad,25529,13.452104311902918,20323,1572,180,5.936675461741425,195.14285714285714,6.393933720277102,3032,189777,26305.944158935992,149.84284521206368,1932.847949710468,3052.0,4.428571428571429
26 July,Ahmedabad,25692,12.76050461905235,20491,1575,163,1.4096687710801694,188.14285714285714,4.373816877553054,11563,201340,27908.749727101665,153.86268102256307,3009.0550267007197,4301.571428571428,4.0
27 July,Ahmedabad,25876,11.890833727764425,20954,1579,184,1.130707306581454,186.85714285714286,2.9843935383772933,16273,217613,30164.432076903617,145.82300940156426,3531.079221953848,6261.142857142857,4.0
28 July,Ahmedabad,26032,11.480485115766262,21120,1583,156,1.707343767100799,180.71428571428572,2.5321269866688016,9137,226750,31430.957587266825,153.58545096666654,3083.9071417927776,7136.857142857143,3.7142857142857144
29 July,Ahmedabad,26184,11.075954721578315,21237,1588,152,1.5744769007665216,174.42857142857142,2.160488365920552,9654,236404,32769.14706707928,158.57559197280372,3176.2247504063153,8073.571428571428,4.0
30 July,Ahmedabad,26341,10.657813814980255,21356,1593,157,1.4607368812802382,166.85714285714286,1.837373562585537,10748,247152,34258.98138746712,160.65481739202755,3474.6629055789085,9081.285714285714,4.0
31 July,Ahmedabad,26517,10.256836730746915,21468,1597,176,1.5468447881877307,166.85714285714286,1.6270808664762832,11378,258530,35836.14317546237,159.82312722433804,3701.5757063302017,10255.0,4.142857142857143
01 August,Ahmedabad,26663,9.89993502274204,21585,1601,146,1.3524779990736453,162.0,1.4255543822597676,10795,269325,37332.49240216378,157.46667174921768,3645.9910801229516,11364.0,4.142857142857143
02 August,Ahmedabad,26818,9.576454876250263,21692,1603,155,1.446435237028742,160.85714285714286,1.4307315027763308,10716,280041,38817.89104165728,152.61514577102878,3223.49247493667,11243.0,4.0
03 August,Ahmedabad,26969,9.3336425051221,21801,1609,151,1.696057508704931,156.14285714285714,1.5322931123915269,8903,288944,40051.9806354806,139.8625631997893,2740.2804875090533,10190.142857142857,4.285714285714286
04 August,Ahmedabad,27122,9.09319502325098,21908,1612,153,1.6411026493617935,155.71428571428572,1.5241131479228716,9323,298267,41344.28854104218,141.3873285072201,2874.1826045070675,10216.714285714286,4.142857142857143
05 August,Ahmedabad,27283,8.832651316982208,22035,1617,161,1.5158647961585539,157.0,1.5161966778875338,10621,308888,42816.51875288059,148.73392498847764,3378.6026912107677,10354.857142857143,4.142857142857143
06 August,Ahmedabad,27434,8.608986810683252,22152,1622,151,1.5441251661724102,156.14285714285714,1.5283506956582535,9779,318667,44172.03511118658,143.3279388984957,3405.632621660677,10216.42857142857,4.142857142857143
07 August,Ahmedabad,27587,8.391916844369138,22272,1625,153,1.5199682098152196,152.85714285714286,1.5241513895417576,10066,328733,45567.333982513715,148.8725400164259,3685.912208172049,10029.0,4.0
08 August,Ahmedabad,27745,8.201252135665767,22393,1630,158,1.6511652210262306,154.57142857142858,1.5686388216361975,9569,338302,46893.741184950566,152.61514577102878,3641.6940142565554,9853.857142857143,4.142857142857143
09 August,Ahmedabad,27898,7.980136902054675,22499,1633,153,1.3550615534496502,154.28571428571428,1.5527950310559007,11291,349593,48458.843465514314,149.4270001282189,4294.986640976682,9936.0,4.285714285714286
10 August,Ahmedabad,27898,7.980136902054675,22499,1633,,,154.83333333333334,1.5317647446783953,,349593,48458.843465514314,,,10108.166666666666,4.0
